2022-04-06 14:01:49 INFO     start sniffing data...
2022-04-06 14:04:19 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:20 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:21 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:22 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:23 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:24 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:25 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:26 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:27 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:28 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:29 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:30 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:31 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:32 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:33 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:34 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:35 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:36 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:37 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:38 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:39 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:40 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:41 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:42 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:43 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:44 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:45 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:46 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:47 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:48 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:49 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:50 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:51 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:52 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:04:53 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:54 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:55 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:56 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:57 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:58 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:04:59 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:05:00 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '24', '09', 'a0', 'a8']
2022-04-06 14:05:01 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:05:02 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:05:03 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:05:04 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:05:05 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:05:06 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
2022-04-06 14:05:07 DEBUG    ['af', '0f', '02', '00', '00', '00', '00', '00', '00', '00', '00', '00', '00', '7b', 'ae']
